Player,Sold/Unsold,Winning Bid,2025 Team,2024 Team,Retained,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,BASRA,Avg+,SR+,BASRA+
Jake Fraser-Mcgurk,Sold,9.00,DC,DC,No,330,9,9,0,84,36.67,141,234.04,0,4,32,28,270.71,166.39,176.73,175.25
Tristan Stubbs,Sold,10.00,DC,DC,Yes,378,14,13,6,71*,54,198,190.9,0,3,24,26,244.9,245.03,144.15,158.54
Ashutosh Sharma,Sold,3.80,DC,PBKS,No,189,11,9,2,61,27,113,167.25,0,1,10,15,194.25,122.52,126.29,125.75
Faf Du Plessis,Sold,2.00,DC,RCB,No,438,15,15,0,64,29.2,271,161.62,0,4,47,21,190.82,132.5,122.04,123.53
KL Rahul,Sold,14.00,DC,LSG,No,520,14,14,0,82,37.14,382,136.12,0,4,45,19,173.26,168.53,102.79,112.16
Axar Patel,Sold,16.50,DC,DC,Yes,235,14,12,4,66,29.38,179,131.28,0,2,19,10,160.66,133.32,99.13,104.01
Kuldeep Yadav,Sold,13.25,DC,DC,Yes,47,11,5,2,35*,15.67,41,114.63,0,0,6,1,130.3,71.1,86.56,84.35
Darshan Nalkande,Sold,0.30,DC,GT,No,12,3,1,0,12,12,11,109.09,0,0,0,1,121.09,54.45,82.37,78.39
Mitchell Starc,Sold,11.75,DC,KKR,No,9,14,5,3,6*,4.5,11,81.81,0,0,1,0,86.31,20.42,61.78,55.88
Donovan Ferreira,Sold,0.75,DC,RR,No,8,2,2,0,7,4,11,72.72,0,0,0,0,76.72,18.15,54.91,49.67
Mukesh Kumar,Sold,8.00,DC,DC,No,3,10,2,1,3,3,9,33.33,0,0,0,0,36.33,13.61,25.17,23.52
Mohit Sharma,Sold,2.20,DC,GT,No,4,12,3,1,4,2,15,26.66,0,0,0,0,28.66,9.08,20.13,18.55
MS Dhoni,Sold,4.00,CSK,CSK,Yes,161,14,11,8,37*,53.67,73,220.54,0,0,14,13,274.21,243.53,166.53,177.52
