Player,Team,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,BASRA,Avg+,SR+,BASRA+
"Karn Sharma
",RCB,31,9,3,0,20,10.33,15,206.66,0,0,2,3,216.99,46.87,156.05,140.47
"Rasikh Salam
",DC,28,8,4,0,10,7.0,30,93.33,0,0,4,0,100.33,31.76,70.47,64.95
"Kane Williamson
",GT,27,2,2,0,26,13.5,27,100.0,0,0,4,0,113.5,61.26,75.51,73.48
"Harpreet Bhatia
",PBKS,27,2,2,0,14,13.5,34,79.41,0,0,2,0,92.91,61.26,59.96,60.15
"Suyash S Prabhudessai
",RCB,24,1,1,0,24,24.0,18,133.33,0,0,3,0,157.33,108.9,100.68,101.85
"Jaydev Unadkat
",SRH,24,11,5,2,8*,8.0,26,92.3,0,0,2,1,100.3,36.3,69.7,64.93
"Tanush Kotian
",RR,24,1,1,0,24,24.0,31,77.41,0,0,3,0,101.41,108.9,58.45,65.65
"Bhuvneshwar Kumar
",SRH,23,16,5,2,13,7.67,29,79.31,0,0,3,0,86.98,34.8,59.89,56.31
"Yudhvir Singh
",LSG,21,2,2,0,14,10.5,14,150.0,0,0,1,2,160.5,47.64,113.27,103.9
"Rahul Chahar
",PBKS,21,9,2,1,16,21.0,15,140.0,0,0,3,1,161.0,95.29,105.71,104.23
"Shardul Thakur
",CSK,21,9,3,2,17,21.0,17,123.52,0,0,2,1,144.51999999999998,95.29,93.27,93.56
"Ashton Turner
",LSG,21,2,2,0,16,10.5,18,116.66,0,0,0,2,127.16,47.64,88.09,82.32
"Kagiso Rabada
",PBKS,20,11,3,2,11*,20.0,14,142.85,0,0,0,2,162.85,90.75,107.87,105.43
"Gulbadin Naib
",DC,19,2,1,0,19,19.0,15,126.66,0,0,1,1,145.66,86.21,95.64,94.3
"Marco Jansen
",SRH,18,3,2,1,17,18.0,13,138.46,0,0,1,1,156.46,81.68,104.55,101.29
"Saurav Chauhan
",RCB,18,3,3,0,9,6.0,15,120.0,0,0,1,1,126.0,27.23,90.61,81.57
"Sumit Kumar
",DC,18,4,3,1,9*,9.0,24,75.0,0,0,2,1,84.0,40.84,56.63,54.38
"Piyush Chawla
",MI,15,11,6,2,10,3.75,15,100.0,0,0,1,1,103.75,17.02,75.51,67.17
"Sanvir Singh
",SRH,14,4,3,2,8*,14.0,12,116.66,0,0,1,0,130.66,63.53,88.09,84.59
"Trent Boult
",RR,14,16,5,3,12,7.0,16,87.5,0,0,2,0,94.5,31.76,66.07,61.18
"Mitchell Santner
",CSK,14,3,3,0,11,4.67,17,82.35,0,0,1,0,87.02,21.19,62.18,56.33
"Gerald Coetzee
",MI,14,10,5,1,8,3.5,22,63.63,0,0,0,1,67.13,15.88,48.05,43.46
"Sai Kishore
",GT,13,5,2,1,13,13.0,6,216.66,0,0,0,2,229.66,58.99,163.6,148.68
"Harshal Patel
",PBKS,13,14,4,1,12,4.33,19,68.42,0,0,1,1,72.75,19.65,51.66,47.1
"Mohammed Siraj
",RCB,12,14,3,1,12,6.0,8,150.0,0,0,0,2,156.0,27.23,113.27,100.99
"Darshan Nalkande
",GT,12,3,1,0,12,12.0,11,109.09,0,0,0,1,121.09,54.45,82.37,78.39
"Umesh Yadav
",GT,12,7,2,1,10*,12.0,15,80.0,0,0,0,1,92.0,54.45,60.41,59.56
"Lalit Yadav
",DC,10,2,2,0,7,5.0,12,83.33,0,0,1,0,88.33,22.69,62.92,57.18
"Arshin Atul Kulkarni
",LSG,9,2,2,0,9,4.5,8,112.5,0,0,2,0,117.0,20.42,84.95,75.74
"Mitchell Starc
",KKR,9,14,5,3,6*,4.5,11,81.81,0,0,1,0,86.31,20.42,61.78,55.88
"Abhinav Manohar
",GT,9,2,2,0,8,4.5,16,56.25,0,0,1,0,60.75,20.42,42.47,39.33
"Donovan Ferreira
",RR,8,2,2,0,7,4.0,11,72.72,0,0,0,0,76.72,18.15,54.91,49.67
"Anmolpreet Singh
",SRH,5,2,2,0,5,2.5,6,83.33,0,0,1,0,85.83,11.34,62.92,55.56
"Noor Ahmad
",GT,5,10,4,2,4,2.5,9,55.55,0,0,1,0,58.05,11.34,41.95,37.58
"Arshdeep Singh
",PBKS,4,14,1,0,4,4.0,3,133.33,0,0,1,0,137.33,18.15,100.68,88.9
"Matthew Wade
",GT,4,2,1,0,4,4.0,6,66.66,0,0,0,0,70.66,18.15,50.34,45.74
"Ravi Bishnoi
",LSG,4,14,3,0,2,1.33,6,66.66,0,0,0,0,67.99,6.04,50.34,44.02
"Anrich Nortje
",DC,4,6,2,0,4,2.0,8,50.0,0,0,0,0,52.0,9.08,37.76,33.66
"Mohit Sharma
",GT,4,12,3,1,4,2.0,15,26.66,0,0,0,0,28.66,9.08,20.13,18.55
"Kumar Kushagra
",DC,3,4,3,0,2,1.0,7,42.85,0,0,0,0,43.85,4.54,32.36,28.39
"Mukesh Kumar
",DC,3,10,2,1,3,3.0,9,33.33,0,0,0,0,36.33,13.61,25.17,23.52
"Ricky Bhui
",DC,3,2,2,0,3,1.5,9,33.33,0,0,0,0,34.83,6.81,25.17,22.55
"Mohsin Khan
",LSG,2,9,1,0,2,2.0,1,200.0,0,0,0,0,202.0,9.08,151.02,130.77
"Jhye Richardson
",DC,2,1,1,0,2,2.0,2,100.0,0,0,0,0,102.0,9.08,75.51,66.03
"B R Sharath
",GT,2,1,1,0,2,2.0,5,40.0,0,0,0,0,42.0,9.08,30.2,27.19
"Lockie Ferguson
",RCB,1,7,1,0,1,1.0,1,100.0,0,0,0,0,101.0,4.54,75.51,65.39
"Keshav Maharaj
",RR,1,2,1,0,1,1.0,2,50.0,0,0,0,0,51.0,4.54,37.76,33.02
"Manav Suthar
",GT,1,1,1,0,1,1.0,2,50.0,0,0,0,0,51.0,4.54,37.76,33.02
"Vyshak Vijaykumar
",RCB,1,4,2,1,1*,1.0,3,33.33,0,0,0,0,34.33,4.54,25.17,22.22
